Sheet ID,Sheet Name/Range,Google sheetID,Point Quantity,Goal 1,Goal 2,Point 1,Point 2,Point 3,Point 4
1eAIgShe3W4rjPcL1HlKsGkw37eNtCPNT3HlkHr57Qv8,Sheet1!A:F,0,8640,0,0,fa13af508c0a11eb924f02420aff037c,098e59fc8bfd11eba84602420aff035e,c7bd0c668c0c11eb8d8b02420aff035f,
1eAIgShe3W4rjPcL1HlKsGkw37eNtCPNT3HlkHr57Qv8,Sheet2!A:F,185632829,8640,0,0,09bc3dae8bfd11eba84602420aff035e,7e37e2848c0011eb83e002420aff0384,7e7c20348c0011eb83e002420aff0384,
1eAIgShe3W4rjPcL1HlKsGkw37eNtCPNT3HlkHr57Qv8,Sheet3!A:F,755189423,8640,0,0,7e718cf08c0011eb83e002420aff0384,fa9c1a348c0a11eb924f02420aff037c,7e98be888c0011eb83e002420aff0384,
1eAIgShe3W4rjPcL1HlKsGkw37eNtCPNT3HlkHr57Qv8,Sheet4!A:F,1336222654,8640,0,0,fb1417fa8c0a11eb924f02420aff037c,fba4c8368c0a11eb924f02420aff037c,7eb5746a8c0011eb83e002420aff0384,
1eAIgShe3W4rjPcL1HlKsGkw37eNtCPNT3HlkHr57Qv8,Sheet5!A:F,2039443755,8640,0,0,d9b767328c0b11eb9aff02420aff0378,d9ec893a8c0b11eb9aff02420aff0378,7ecda8a08c0011eb83e002420aff0384,
1eAIgShe3W4rjPcL1HlKsGkw37eNtCPNT3HlkHr57Qv8,Sheet6!A:F,1838739384,8640,0,0,da16acb08c0b11eb9aff02420aff0378,c78109be8c0c11eb8d8b02420aff035f,fbc865c08c0a11eb924f02420aff037c,
1ruhFIvjI3_QGXXIGoA_y3-xUS8eeWOY5l-Z-1H9Qhjg,Sheet1!A:F,0,8640,0,0,c68cba3a8c0c11eb8d8b02420aff035f,7e1e521a8c0011eb83e002420aff0384,,
1ruhFIvjI3_QGXXIGoA_y3-xUS8eeWOY5l-Z-1H9Qhjg,Sheet2!A:F,76952819,8640,0,0,09d0bbda8bfd11eba84602420aff035e,7e2eea6c8c0011eb83e002420aff0384,,
1ruhFIvjI3_QGXXIGoA_y3-xUS8eeWOY5l-Z-1H9Qhjg,Sheet3!A:F,246137678,8640,0,0,c6b40a4a8c0c11eb8d8b02420aff035f,fa84c3ac8c0a11eb924f02420aff037c,,
1ruhFIvjI3_QGXXIGoA_y3-xUS8eeWOY5l-Z-1H9Qhjg,Sheet4!A:F,525698428,8640,0,0,fb550a448c0a11eb924f02420aff037c,fb945b5e8c0a11eb924f02420aff037c,,
1ruhFIvjI3_QGXXIGoA_y3-xUS8eeWOY5l-Z-1H9Qhjg,Sheet5!A:F,409142360,8640,0,0,d9cd35588c0b11eb9aff02420aff0378,d9e505668c0b11eb9aff02420aff0378,,
1ruhFIvjI3_QGXXIGoA_y3-xUS8eeWOY5l-Z-1H9Qhjg,Sheet6!A:F,1426287586,8640,0,0,c730db568c0c11eb8d8b02420aff035f,c771c0448c0c11eb8d8b02420aff035f,,
