Sheet ID,Sheet Name/Range,Google sheetID,Point Quantity,Goal 1,Goal 2,Point 1,Point 2,Point 3,Point 4
1SFtE5rLeEAEJ4p14i4ci9_Ep5e2vOz4OlP22zbSD4y8,Sheet1!A:F,0,2880,-2.5,2.5,5d09db90bee511ebb52302420aff0902,204a48f882a311eba4dc02420aff0277,233fd79e82a311eba01502420aff025d,
1SFtE5rLeEAEJ4p14i4ci9_Ep5e2vOz4OlP22zbSD4y8,Sheet2!A:F,1488350171,2880,-2.5,2.5,5d09db90bee511ebb52302420aff0902,7a420f48859c11eb901702420aff0277,2371f6f282a311eb998802420aff028c,
1SFtE5rLeEAEJ4p14i4ci9_Ep5e2vOz4OlP22zbSD4y8,Sheet3!A:F,1216666144,2880,-2.5,2.5,5d09db90bee511ebb52302420aff0902,198086fc859d11ebb0de02420aff027c,23a3ea8682a311ebab3f02420aff027b,
1SFtE5rLeEAEJ4p14i4ci9_Ep5e2vOz4OlP22zbSD4y8,Sheet4!A:F,1735023235,2880,-2.5,2.5,5d09db90bee511ebb52302420aff0902,606e0ef4859d11eb978b02420aff025f,2544b29e82a311ebb55f02420aff028f,
1SFtE5rLeEAEJ4p14i4ci9_Ep5e2vOz4OlP22zbSD4y8,Sheet5!A:F,1414210626,2880,-2.5,2.5,5d09db90bee511ebb52302420aff0902,ab4bf562859d11eb966f02420aff028d,2574c5e282a311eba4dc02420aff0277,
1SFtE5rLeEAEJ4p14i4ci9_Ep5e2vOz4OlP22zbSD4y8,Sheet6!A:F,1129704615,2880,-2.5,2.5,5d09db90bee511ebb52302420aff0902,f4ec6850859d11ebacf002420aff028f,25b9d89e82a311eba47302420aff0261,
1SFtE5rLeEAEJ4p14i4ci9_Ep5e2vOz4OlP22zbSD4y8,Sheet7!A:F,937711427,2880,-0.05,0.05,5d09db90bee511ebb52302420aff0902,b5ba54aa829e11ebb1fa02420aff028a,1e2cb34482a311eba4dc02420aff0277,
1SFtE5rLeEAEJ4p14i4ci9_Ep5e2vOz4OlP22zbSD4y8,Sheet8!A:F,1673383705,2880,-0.05,0.05,5d09db90bee511ebb52302420aff0902,8bcb51a8859b11eba7ed02420aff028b,3a77476e859411eb978b02420aff025f,
1SFtE5rLeEAEJ4p14i4ci9_Ep5e2vOz4OlP22zbSD4y8,Sheet9!A:F,1232729490,2880,-0.05,0.05,5d09db90bee511ebb52302420aff0902,eb76d04a859c11eba99b02420aff028a,eb37bd6a859c11eb901702420aff0277,
1SFtE5rLeEAEJ4p14i4ci9_Ep5e2vOz4OlP22zbSD4y8,Sheet10!A:F,1395630196,2880,-0.05,0.05,5d09db90bee511ebb52302420aff0902,38ba0868859d11eba43a02420aff025e,37cd1b84859d11eba99b02420aff028a,
1SFtE5rLeEAEJ4p14i4ci9_Ep5e2vOz4OlP22zbSD4y8,Sheet11!A:F,1605572280,2880,-0.05,0.05,5d09db90bee511ebb52302420aff0902,83126a2c859d11eb901702420aff0277,8282c93a859d11eba4dc02420aff0277,
1SFtE5rLeEAEJ4p14i4ci9_Ep5e2vOz4OlP22zbSD4y8,Sheet12!A:F,1359320796,2880,-0.05,0.05,5d09db90bee511ebb52302420aff0902,c2097540859d11eba4dc02420aff0277,c1550e84859d11eb966f02420aff028d,
1sRy_YYFqE1Ud0ST1x1EarvHPlz1403GeKaZETjtUios,Sheet1!A:D,0,8640,0,0,c7bd0c668c0c11eb8d8b02420aff035f,,,
1sRy_YYFqE1Ud0ST1x1EarvHPlz1403GeKaZETjtUios,Sheet2!A:D,358641012,8640,0,0,7e7c20348c0011eb83e002420aff0384,,,
1sRy_YYFqE1Ud0ST1x1EarvHPlz1403GeKaZETjtUios,Sheet3!A:D,937016402,8640,0,0,7e98be888c0011eb83e002420aff0384,,,
1sRy_YYFqE1Ud0ST1x1EarvHPlz1403GeKaZETjtUios,Sheet4!A:D,809962762,8640,0,0,7eb5746a8c0011eb83e002420aff0384,,,
1sRy_YYFqE1Ud0ST1x1EarvHPlz1403GeKaZETjtUios,Sheet5!A:D,307636240,8640,0,0,7ecda8a08c0011eb83e002420aff0384,,,
1sRy_YYFqE1Ud0ST1x1EarvHPlz1403GeKaZETjtUios,Sheet6!A:D,70571807,8640,0,0,fbc865c08c0a11eb924f02420aff037c,,,
1uRYxRGUUzNcmg5sd7eCG0hbxMRqq1DRW9wg7G5n7VOY,Sheet1!A:F,0,8640,0,0,d9a0cf4a8c0b11eb9aff02420aff0378,099c33b08bfd11eba84602420aff035e,,
1uRYxRGUUzNcmg5sd7eCG0hbxMRqq1DRW9wg7G5n7VOY,Sheet2!A:F,2062955857,8640,0,0,09ca60aa8bfd11eba84602420aff035e,7e404b7c8c0011eb83e002420aff0384,,
1uRYxRGUUzNcmg5sd7eCG0hbxMRqq1DRW9wg7G5n7VOY,Sheet3!A:F,923951256,8640,0,0,fa4853f48c0a11eb924f02420aff037c,fab0d6048c0a11eb924f02420aff037c,,
