Sheet ID,Sheet Name/Range,Google sheetID,Point Quantity,Goal 1,Goal 2,Point 1,Point 2,Point 3,Point 4
1UMVtx4bmduWwFYBAY8d0aGPN1Cmjk5xZgAXpeM0eNqc,Sheet1!A:H,0,2880,0,0,1fad23de82a311eba7ed02420aff028b,0c9830d8874711eb87c502420aff02f9,19a2716c858f11ebab3f02420aff027b,
1UMVtx4bmduWwFYBAY8d0aGPN1Cmjk5xZgAXpeM0eNqc,Sheet2!A:H,1490823965,2880,0,0,b6b6113c859b11eb9f1002420aff0281,04db27c4874711eb86ea02420aff02e4,19ab0996859c11eb9f1002420aff0281,
1UMVtx4bmduWwFYBAY8d0aGPN1Cmjk5xZgAXpeM0eNqc,Sheet3!A:H,1589709142,2880,0,0,fdf86b2a859c11eba7ed02420aff028b,059f1968874711ebaf6802420aff0308,9d7cf644b4a411ebbb9002420aff081b,
1UMVtx4bmduWwFYBAY8d0aGPN1Cmjk5xZgAXpeM0eNqc,Sheet4!A:H,285965988,2880,0,0,5f0575b6859d11eb9ea702420aff025d,57094e24b4a411eb8a2c02420aff0819,5806ceaab4a411eb9b4702420aff0837,
1UMVtx4bmduWwFYBAY8d0aGPN1Cmjk5xZgAXpeM0eNqc,Sheet5!A:H,1811212205,2880,0,0,a97c64a6859d11eba4dc02420aff0277,fc8e1db0874611ebaf6802420aff0308,cbc7c240b4a411eba3d702420aff081d,
1UMVtx4bmduWwFYBAY8d0aGPN1Cmjk5xZgAXpeM0eNqc,Sheet6!A:H,1472089932,2880,0,0,a9258fa6b4a411ebb56e02420aff0836,11536566874711ebb1c202420aff0308,57b7316ab4a411eb9b8702420aff0819,
1utO9hJ2p7LWJQBjwkJOc68nd2Q1IerAW8WJIUqd3Ga0,Sheet1!A:H,0,2880,0,0,2a6c96f682a311ebb16602420aff0290,4f1b60ca874611ebad2702420aff02e3,,
1utO9hJ2p7LWJQBjwkJOc68nd2Q1IerAW8WJIUqd3Ga0,Sheet2!A:H,1502828481,2880,0,0,0eacb51c859c11ebbc9b02420aff0288,510e9302874611eb87c502420aff02f9,,
1utO9hJ2p7LWJQBjwkJOc68nd2Q1IerAW8WJIUqd3Ga0,Sheet3!A:H,102302098,2880,0,0,1bd10f08859d11eba44302420aff027d,54ae6f32874611eb9a1502420aff030f,,
1utO9hJ2p7LWJQBjwkJOc68nd2Q1IerAW8WJIUqd3Ga0,Sheet4!A:H,483595634,2880,0,0,5f763a94859d11eba55c02420aff028d,563bcaf2874611ebb1c202420aff0308,,
1utO9hJ2p7LWJQBjwkJOc68nd2Q1IerAW8WJIUqd3Ga0,Sheet5!A:H,455872841,2880,0,0,aa13445c859d11eba43a02420aff025e,52f20442874611ebb44502420aff0312,,
1utO9hJ2p7LWJQBjwkJOc68nd2Q1IerAW8WJIUqd3Ga0,Sheet6!A:H,1309608083,2880,0,0,f432157c859d11ebb55f02420aff028f,4f7d1df6874611eb807802420aff030e,,
